categoria;categoria_id;codigo_barra;marca;marca_id;nombre;precio;precio_lista;producto_id;sku_id;stock;url
AURICULARES;39;7797026960151;Stromberg;2000111;AURICULARES STROMBERG BLUETOOTH SHARP BLACK;5179.3;7399.0;494014;35886;5;https://www.hiperlibertad.com.ar/auriculares-stromberg-bluetooth-sharp-black/p
Papas Fritas;390;38000184932;Pringles;2000343;Papas Fritas Pringles Original x 124 gr;899.1;1264.0;501856;38671;594;https://www.hiperlibertad.com.ar/papas-fritas-pringles-original-x-124-gr/p
Papas Fritas;390;38000184956;Pringles;2000343;Papas Fritas Pringles Crema y Queso x 124 gr;899.1;1264.0;501858;38692;879;https://www.hiperlibertad.com.ar/papas-fritas-pringles-crema-y-queso-x-124-gr/p
Papas Fritas;390;38000184949;Pringles;2000343;Papas Fritas Pringles Crema y Cebolla x 124 gr;899.1;1264.0;501857;38672;666;https://www.hiperlibertad.com.ar/papas-fritas-pringles-crema-y-cebolla-x-124-gr/p
Papas Fritas;390;7790310985076;Lay's;2000342;PAPAS FRITAS LAYS CHEDDAR X 85 Gr;500.99;500.99;501338;38168;91;https://www.hiperlibertad.com.ar/papas-fritas-lays-cheddar-x-85-gr/p
Papas Fritas;390;7790310984215;Doritos;2000345;Doritos Queso 220 gr;1172.0;1172.0;471303;16647;100;https://www.hiperlibertad.com.ar/doritos-queso-220-gr/p
Papas Fritas;390;7790310984185;Doritos;2000345;Doritos Queso 45 gr;282.99;282.99;471300;16633;21;https://www.hiperlibertad.com.ar/doritos-queso-45-gr/p
Papas Fritas;390;7790310984161;Pehuamar;2000344;Papas Fritas Acanaladas Pehuamar 250 gr;588.34;588.34;471276;16566;20;https://www.hiperlibertad.com.ar/papas-fritas-acanaladas-pehuamar-250-gr/p
Papas Fritas;390;7790310984017;Lay's;2000342;Papas Fritas Lays Clásicas 249 gr;977.0;977.0;469581;16391;164;https://www.hiperlibertad.com.ar/papas-fritas-lays-cl-sicas-249-gr/p
Papas Fritas;390;7790310983997;Lay's;2000342;Papas Fritas Lays Clásicas 45 gr;268.99;268.99;469578;16382;674;https://www.hiperlibertad.com.ar/papas-fritas-lays-cl-sicas-45-gr/p
Papas Fritas;390;7790310984956;Tostitos;2000347;SNACKS TOSTITOS NACHOS X 220 Gr;1096.0;1096.0;481742;27016;24;https://www.hiperlibertad.com.ar/snacks-tostitos-nachos-x-220-gr/p
Papas Fritas;390;7790310984949;Tostitos;2000347;TOSTITOS ORIGINAL x 140g;711.99;711.99;481741;26258;580;https://www.hiperlibertad.com.ar/tostitos-original-x-140g/p
Papas Fritas;390;7790310984949;Tostitos;2000347;TOSTITOS ORIGINAL x 140g;711.99;711.99;481741;26258;580;https://www.hiperlibertad.com.ar/tostitos-original-x-140g/p
Papas Fritas;390;7790310002735;Lay's;2000342;Papas Fritas Lays Ketchup 85 gr;523.0;523.0;480526;24375;160;https://www.hiperlibertad.com.ar/papas-fritas-lays-ketchup-85-gr/p
Papas Fritas;390;7790310985007;Lay's;2000342;PAPAS FRITAS LAYS CEBOLLA CARAMELIZADA X 85 Gr;485.99;485.99;488016;33294;150;https://www.hiperlibertad.com.ar/papas-fritas-lays-cebolla-caramelizada-x-85-gr/p
Papas Fritas;390;7790310984208;Doritos;2000345;Doritos Queso 140 gr;805.0;805.0;471302;16601;95;https://www.hiperlibertad.com.ar/doritos-queso-140-gr/p
Papas Fritas;390;7790310984154;Pehuamar;2000344;Papas Fritas Acanaladas Pehuamar 140 gr;452.99;452.99;471275;16551;829;https://www.hiperlibertad.com.ar/papas-fritas-acanaladas-pehuamar-140-gr/p
Papas Fritas;390;7790310984147;Pehuamar;2000344;Papas Fritas Acanaladas Pehuamar 80 gr;299.45;299.45;471274;16597;2;https://www.hiperlibertad.com.ar/papas-fritas-acanaladas-pehuamar-80-gr/p
Papas Fritas;390;7790310984000;Lay's;2000342;Papas Fritas Lays Clásicas 145 gr;773.99;773.99;469580;16356;173;https://www.hiperlibertad.com.ar/papas-fritas-lays-cl-sicas-145-gr/p
Papas Fritas;390;7790310984031;Lay's;2000342;Papas Fritas Lays Clásicas 94 gr;511.0;511.0;469579;16375;412;https://www.hiperlibertad.com.ar/papas-fritas-lays-cl-sicas-94-gr/p
Papas Fritas;390;7790310983942;Lay's;2000342;Papas Fritas Lays Sabor Jamón Serrano 85 gr;523.0;523.0;469577;16390;306;https://www.hiperlibertad.com.ar/papas-fritas-lays-sabor-jam-n-serrano-85-gr/p
Pochoclos;391;7798031470123;Mir;2000012;POPCORN MARLOMS MANTECA LIGHT X 90 GR;305.99;305.99;247841;11897;56;https://www.hiperlibertad.com.ar/popcorn-marloms-manteca-light-x-90-gr/p
Pochoclos;391;7798031471113;Popcorn;2000365;Pochoclo Popcorn Salado Manteca  para Microondas 100 Gr;305.99;305.99;133830;2114;128;https://www.hiperlibertad.com.ar/pochoclo-popcorn-salado-manteca-para-microondas-100-gr/p
Pochoclos;391;7798031471120;Popcorn;2000365;Pochoclo Popcorn Dulce  para Microondas 95 Gr;305.99;305.99;133824;1669;57;https://www.hiperlibertad.com.ar/pochoclo-popcorn-dulce-para-microondas-95-gr/p
Chizitos;392;7790310985113;Mir;2000012;3D QUESO 43G;232.0;232.0;494979;36229;239;https://www.hiperlibertad.com.ar/3d-queso-43g/p
Chizitos;392;7790310984482;Cheetos;2000349;Cheetos Queso 47 gr;268.99;268.99;471304;16615;246;https://www.hiperlibertad.com.ar/cheetos-queso-47-gr/p
Chizitos;392;7790310985137;Mir;2000012;3D QUESO 143G;588.0;588.0;494981;36230;193;https://www.hiperlibertad.com.ar/3d-queso-143g/p
Chizitos;392;7790310985175;Pep;2001179;PALITOS SALADOS PEP RAMITAS QUESO X 84 Gr;430.99;430.99;504526;42431;258;https://www.hiperlibertad.com.ar/palitos-salados-pep-ramitas-queso-x-84-gr/p
Chizitos;392;7790310985182;Pep;2001179;PALITOS SALADOS PEP RAMITAS QUESO X 120 Gr;535.0;535.0;504525;42432;149;https://www.hiperlibertad.com.ar/palitos-salados-pep-ramitas-queso-x-120-gr/p
Chizitos;392;7790310985120;Mir;2000012;3D QUESO 92G;427.99;427.99;494980;36278;50;https://www.hiperlibertad.com.ar/3d-queso-92g/p
Chizitos;392;7790310984505;Cheetos;2000349;Cheetos Queso 151 gr;642.99;642.99;471306;16602;546;https://www.hiperlibertad.com.ar/cheetos-queso-151-gr/p
Chizitos;392;7790310984499;Cheetos;2000349;Cheetos Queso 94 gr;428.99;428.99;471305;16568;6;https://www.hiperlibertad.com.ar/cheetos-queso-94-gr/p
Chizitos;392;7790310984345;Pehuamar;2000344;Maicitos Pehuamar 285 gr;803.0;803.0;471287;16584;195;https://www.hiperlibertad.com.ar/maicitos-pehuamar-285-gr/p
Mix;394;7798395420109;Orale;2002056;NACHOS ORALE TRADICIONALES X 360 Gr;541.0;541.0;496973;37139;39;https://www.hiperlibertad.com.ar/nachos-orale-tradicionales-x-360-gr/p
Mix;394;7790503199150;Mir;2000012;SNACK ARROZ PIZZA D.HERMANOSX;260.0;312.0;495285;36456;254;https://www.hiperlibertad.com.ar/snack-arroz-pizza-d-hermanosx/p
Mix;394;7790503000302;Dos Hermanos;2000298;Snacks de Arroz Dos Hermanos Asado 80 Gr;260.0;312.0;378317;893;358;https://www.hiperlibertad.com.ar/snacks-de-arroz-dos-hermanos-asado-80-gr/p
Mix;394;7790503000296;Dos Hermanos;2000298;Aritos de Arroz Dos Hermanos Crema Con Cebolla 80 Gr;260.0;312.0;370740;3887;503;https://www.hiperlibertad.com.ar/aritos-de-arroz-dos-hermanos-crema-con-cebolla-80-gr/p
Mix;394;7790503000289;Dos Hermanos;2000298;Snacks de Arroz Dos Hermanos Jamón 80 Gr;260.0;312.0;363555;157;1046;https://www.hiperlibertad.com.ar/snacks-de-arroz-dos-hermanos-jam-n-80-gr/p
Mix;394;7790503000302;Dos Hermanos;2000298;Snacks de Arroz Dos Hermanos Asado 80 Gr;260.0;312.0;378317;893;358;https://www.hiperlibertad.com.ar/snacks-de-arroz-dos-hermanos-asado-80-gr/p
Mix;394;7798177200387;Lyv;2002105;BARRA DE FRUTOS SECOS LYV MANI QUINOA Y CHOCOLATE AMARGO X 28 Gr;236.0;236.0;495318;36546;19;https://www.hiperlibertad.com.ar/barra-de-frutos-secos-lyv-mani-quinoa-y-chocolate-amargo-x-28-gr/p
Mix;394;7790503199044;Dos Hermanos;2000298;DISCOS DE ARROZ  SALAME 2 HNOS;260.0;312.0;469109;19174;528;https://www.hiperlibertad.com.ar/discos-de-arroz-salame-2-hnos/p
Mix;394;7790503000272;Dos Hermanos;2000298;Palitos de Arroz Dos Hermanos Queso 80 G;260.0;312.0;363530;738;712;https://www.hiperlibertad.com.ar/palitos-de-arroz-dos-hermanos-queso-80-g/p
Tradicional;396;7790742625502;La Serenísima;2000530;DULCE DE LECHE LA SERENÍSIMA TRAD 400G;483.0;483.0;472832;18722;534;https://www.hiperlibertad.com.ar/dulce-de-leche-la-serenisima-trad-400g/p
Repostero;397;7791058002582;Manfrey;2000597;Dulce de Leche Repostero Manfrey 400 Gr;385.99;385.99;281942;8430;23;https://www.hiperlibertad.com.ar/dulce-de-leche-repostero-manfrey-400-gr/p
Repostero;397;7794820902004;Milkaut;2000542;DULCE LECHE REPOSTERO MILKAUT405Gr;443.0;443.0;474057;23057;87;https://www.hiperlibertad.com.ar/dulce-leche-repostero-milkaut405gr/p
